0 0 0 -nan inf inf -nan -nan 0 0
2.1 1.14809 0.178421 4.45397 2.93608 0.955731 1.87664e-05 -1.12191e-05 0.299592 1.68177
2.11 1.15379 0.178987 4.43435 2.91844 0.942279 1.88816e-05 -1.12879e-05 0.300957 1.68444
2.12 1.1595 0.179552 4.41492 2.90097 0.928974 1.8997e-05 -1.13568e-05 0.302322 1.68709
2.13 1.16521 0.180116 4.39566 2.88367 0.915812 1.91126e-05 -1.14258e-05 0.303686 1.68974
2.14 1.17093 0.180679 4.37658 2.86655 0.902793 1.92285e-05 -1.1495e-05 0.305051 1.69238
2.15 1.17664 0.181242 4.35767 2.84959 0.889913 1.93446e-05 -1.15643e-05 0.306414 1.69502
2.16 1.18236 0.181803 4.33893 2.83279 0.877171 1.94609e-05 -1.16337e-05 0.307777 1.69764
2.17 1.18808 0.182364 4.32036 2.81615 0.864565 1.95774e-05 -1.17032e-05 0.30914 1.70025
2.18 1.1938 0.182924 4.30196 2.79968 0.852093 1.96942e-05 -1.17729e-05 0.310503 1.70286
2.19 1.19952 0.183483 4.28371 2.78336 0.839753 1.98111e-05 -1.18428e-05 0.311864 1.70546
2.2 1.20524 0.184041 4.26563 2.76719 0.827543 1.99284e-05 -1.19127e-05 0.313226 1.70805
2.21 1.21097 0.184598 4.24771 2.75118 0.81546 2.00459e-05 -1.19828e-05 0.314587 1.71064
2.22 1.21669 0.185154 4.22994 2.73532 0.803505 2.01636e-05 -1.20531e-05 0.315948 1.71321
2.23 1.22242 0.18571 4.21233 2.71961 0.791673 2.02815e-05 -1.21235e-05 0.317308 1.71578
2.24 1.22815 0.186265 4.19486 2.70404 0.779964 2.03997e-05 -1.21941e-05 0.318668 1.71834
2.25 1.23389 0.186819 4.17756 2.68862 0.768377 2.05182e-05 -1.22648e-05 0.320027 1.7209
2.26 1.23962 0.187372 4.16039 2.67334 0.756908 2.06369e-05 -1.23356e-05 0.321386 1.72344
2.27 1.24536 0.187924 4.14338 2.6582 0.745557 2.07559e-05 -1.24066e-05 0.322744 1.72598
